P_PV_kW,P_EV_kW
1993.8,782.98
1853.35,782.98
1712.9,393.95
1572.45,721.55
1432,974.11
1265.025,129.68
1098.05,618.09
931.075,618.09
764.1,748.17
574.8625,872.50
385.625,1062.78
196.3875,623.15
7.15,1631.11
5.3625,1388.88
3.575,1516.46
1.7875,773.88
0,2085.58
0,2084.64
0,1763.02
0,1900.17
0,2405.52
0,2550.78
0,1925.10
0,2236.85
0,2399.68
0,2713.91
0,2032.79
0,2259.07
0,2574.62
0,2476.91
0,2276.54
0,2139.10
0,2488.14
0,2261.94
0,473.63
0,657.15
0,0.00
0,301.82
0,359.55
0,996.48
0,993.76
0,983.93
0,347.30
0,164.85
0,164.85
0,85.33
0,379.41
0,0.00
0,0.00
0,665.00
0,738.82
0,436.39
0,0.00
0,1018.08
0,883.73
0,347.10
0,942.42
0,1873.64
0,1597.17
0,2048.92
0,2188.22
58.975,2684.90
117.95,2517.08
176.925,2290.85
235.9,2372.56
455.35,2452.02
674.8,1756.64
894.25,1871.88
1113.7,1501.40
1326.9875,1155.01
1540.275,789.64
1753.5625,614.77
1966.85,1003.27
2128.0375,536.94
2289.225,472.72
2450.4125,202.61
2611.6,527.30
2798.7625,183.88
2985.925,183.88
3173.0875,413.35
3360.25,146.41
3295.5625,340.76
3230.875,340.76
3166.1875,166.73
3101.5,445.73
3084.3625,1047.79
3067.225,780.71
3050.0875,380.62
3032.95,812.12
3061.5625,471.71
3090.175,982.79
3118.7875,1065.91
3147.4,517.95
2981.9,433.87
2816.4,804.89
2650.9,645.52
2485.4,660.45
2147.425,338.05
1809.45,329.12
1471.475,0.00
1133.5,0.00
967.7,389.92
801.9,663.48
636.1,582.80
470.3,496.26
355.475,496.26
240.65,1087.63
125.825,920.38
11,624.52
8.25,910.46
5.5,649.01
2.75,1413.97
0,1267.12
0,1383.45
0,2331.83
0,1293.96
0,2419.84
0,2387.95
0,2316.39
0,2128.90
0,2567.64
0,2545.81
0,2057.55
0,2546.26
0,2320.69
0,2234.43
0,2383.90
0,2047.95
0,2495.75
0,673.76
0,291.27
0,0.00
0,217.66
0,368.00
0,238.20
0,444.75
0,204.35
0,61.40
0,0.00
0,522.12
0,869.51
0,574.87
0,502.19
0,498.84
0,0.00
0,680.51
0,977.06
0,409.15
0,290.18
0,0.00
0,158.33
0,430.01
0,1393.56
0,2451.59
0,2693.62
0,2112.57
0,2188.82
61.5375,1861.86
123.075,2625.41
184.6125,2788.68
246.15,2187.99
488.3375,2380.49
730.525,1938.36
972.7125,2427.30
1214.9,2273.49
1434.6,1061.94
1654.3,879.02
1874,751.87
2093.7,534.13
2200.6625,1357.79
2307.625,940.11
2414.5875,741.26
2521.55,841.58
2555.075,659.71
2588.6,1077.27
2622.125,498.01
2655.65,573.39
2729.5,434.70
2803.35,435.09
2877.2,435.09
2951.05,492.36
3028.05,945.13
3105.05,1451.51
3182.05,1348.22
3259.05,1108.03
3026.725,400.85
2794.4,593.73
2562.075,593.73
2329.75,171.83
2372.8875,171.83
2416.025,855.05
2459.1625,289.62
2502.3,51.14
2266.925,646.37
2031.55,350.22
1796.175,588.87
1560.8,798.39
1337.75,698.73
1114.7,615.69
891.65,262.53
668.6,464.98
504.4625,984.24
340.325,984.24
176.1875,1902.81
12.05,961.95
9.0375,1588.38
6.025,1650.86
3.0125,1398.84
0,1162.14
0,996.94
0,2378.02
0,1970.97
0,1539.18
0,2027.86
0,2448.67
0,1315.09
0,2527.63
0,2366.21
0,2386.57
0,2169.08
0,2319.12
0,1944.65
0,2499.56
0,2523.51
0,2235.92
0,430.05
0,1105.78
0,721.79
0,0.00
0,0.00
0,190.47
0,190.47
0,190.47
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,432.80
0,432.80
0,245.10
0,245.10
0,522.96
0,381.17
0,580.46
0,580.46
0,1128.41
0,161.86
0,1740.98
0,2423.88
0,2713.35
0,2054.40
0,2483.58
58.7125,2461.24
117.425,2451.27
176.1375,1797.94
234.85,1944.52
451.275,1030.40
667.7,1045.44
884.125,1366.63
1100.55,903.52
1405.575,1926.90
1710.6,1915.91
2015.625,1005.96
2320.65,908.32
2514.225,1109.78
2707.8,613.42
2901.375,741.92
3094.95,741.92
3225.8125,264.03
3356.675,806.95
3487.5375,806.95
3618.4,632.91
3555.6,563.28
3492.8,450.01
3430,597.75
3367.2,737.44
3359.825,221.79
3352.45,511.25
3345.075,804.54
3337.7,331.97
3141.0125,216.54
2944.325,916.47
2747.6375,794.23
2550.95,578.65
2473.1,246.39
2395.25,0.00
2317.4,438.37
2239.55,711.23
1940,1157.79
1640.45,440.87
1340.9,548.75
1041.35,284.72
931.4,0.00
821.45,0.00
711.5,272.58
601.55,272.58
454.075,355.34
306.6,446.16
159.125,518.51
11.65,1133.75
8.7375,1367.60
5.825,902.74
2.9125,790.12
0,667.00
0,897.70
0,1886.52
0,1787.53
0,1882.56
0,2239.09
0,1376.24
0,2490.86
0,2826.05
0,2493.64
0,2283.08
0,2416.16
0,2497.40
0,2509.33
0,1578.26
0,1690.50
0,1604.33
0,1135.76
0,1276.43
0,511.46
0,0.00
0,0.00
0,0.00
0,195.31
0,195.31
0,99.75
0,263.31
0,568.89
0,568.89
0,449.29
0,82.52
0,0.00
0,618.82
0,96.22
0,0.00
0,0.00
0,0.00
0,517.82
0,711.26
0,339.35
0,2055.13
0,1409.38
0,1703.59
0,1571.48
0,2506.71
64.05,2253.58
128.1,1871.38
192.15,2130.66
256.2,2182.30
503.5375,1533.94
750.875,1562.10
998.2125,1075.53
1245.55,1262.04
1479.9125,471.42
1714.275,921.40
1948.6375,537.20
2183,923.39
2332.5125,868.12
2482.025,646.26
2631.5375,489.88
2781.05,1084.43
2925.9,659.19
3070.75,402.71
3215.6,714.50
3360.45,761.96
3394.3375,585.07
3428.225,140.34
3462.1125,104.73
3496,1370.31
3522.85,900.64
3549.7,622.03
3576.55,490.51
3603.4,482.64
3508.925,624.89
3414.45,675.82
3319.975,1294.03
3225.5,1133.75
2930.65,359.50
2635.8,683.01
2340.95,609.74
2046.1,275.44
1836.3125,481.32
1626.525,600.86
1416.7375,928.05
1206.95,871.88
1035.6125,443.39
864.275,0.00
692.9375,443.08
521.6,462.94
395.125,430.18
268.65,807.92
142.175,676.04
15.7,1280.22
11.775,553.63
7.85,687.98
3.925,1021.82
0,1076.06
0,1993.65
0,1676.86
0,1752.55
0,2262.57
0,2327.63
0,2494.23
0,2553.95
0,1707.48
0,2327.98
0,2426.85
0,2529.01
0,2260.15
0,2341.16
0,2316.49
0,1982.35
0,1854.58
0,1449.38
0,547.17
0,487.43
0,0.00
0,0.00
0,0.00
0,349.11
0,946.73
0,877.38
0,0.00
0,852.75
0,852.75
0,241.65
0,539.29
0,953.60
0,1449.09
0,642.27
0,1174.56
0,1070.61
0,315.01
0,953.89
0,191.44
0,268.88
0,1303.36
0,2312.06
0,1979.27
0,2365.76
0,2533.31
65.2875,1941.96
130.575,2792.91
195.8625,2603.59
261.15,2186.55
510.1875,1599.26
759.225,1685.97
1008.2625,1659.05
1257.3,1416.74
1540.3125,1958.37
1823.325,1356.23
2106.3375,815.02
2389.35,377.85
2582.5125,536.90
2775.675,536.90
2968.8375,200.36
3162,0.00
3286.325,0.00
3410.65,695.62
3534.975,1048.24
3659.3,434.05
3704.625,216.69
3749.95,354.74
3795.275,354.74
3840.6,1471.18
3777.5375,512.81
3714.475,1557.37
3651.4125,1200.27
3588.35,630.27
3508.5875,538.54
3428.825,492.71
3349.0625,0.00
3269.3,771.14
3119.0375,385.22
2968.775,385.22
2818.5125,67.22
2668.25,419.25
2456.6,360.36
2244.95,203.87
2033.3,313.21
1821.65,364.05
1545.7375,343.81
1269.825,559.41
993.9125,559.41
718,227.24
550.9,572.69
383.8,359.64
216.7,551.18
49.6,438.22
37.2,2116.26
24.8,2199.59
12.4,1303.67
0,693.29
0,1054.30
0,1677.11
0,1820.90
0,1619.26
0,2253.08
0,2144.04
0,2616.86
0,1502.48
0,1965.52
0,2635.70
0,2816.95
0,2816.46
0,2559.28
0,1661.96
0,2335.21
0,2208.05
0,739.45
0,477.22
0,383.59
0,0.00
0,0.00
0,292.49
0,448.30
0,448.30
0,0.00
0,0.00
0,0.00
0,251.82
0,998.95
0,550.21
0,0.00
0,675.82
0,675.82
0,0.00
0,105.82
0,105.82
0,1187.50
0,756.71
